"draw","source","richness","abundance","even","hill1","hill2"
1,"feasible",5,50,0.7736,4.69021318789693,4.41696113074205
2,"feasible",5,50,0.7416,4.14921091571616,3.86996904024768
3,"feasible",5,50,0.6824,3.53316706125134,3.14861460957179
4,"feasible",5,50,0.7904,4.87892146867076,4.77099236641221
5,"feasible",5,50,0.652,3.6098677316982,2.8735632183908
6,"feasible",5,50,0.7072,3.9754544149657,3.41530054644809
7,"feasible",5,50,0.7592,4.52641330280638,4.15282392026578
8,"feasible",5,50,0.7296,4.20414811371741,3.69822485207101
9,"feasible",5,50,0.7952,4.94371900077729,4.8828125
10,"feasible",5,50,0.7128,4.05582050308076,3.48189415041783
11,"feasible",5,50,0.6648,3.62519627349735,2.98329355608592
12,"feasible",5,50,0.7144,4.04776229377118,3.50140056022409
13,"feasible",5,50,0.7416,4.26391893858645,3.86996904024768
14,"feasible",5,50,0.7072,3.89469455688253,3.41530054644809
15,"feasible",5,50,0.4592,2.38218114420612,1.8491124260355
16,"feasible",5,50,0.728,4.028140765278,3.67647058823529
17,"feasible",5,50,0.7112,3.9017213623857,3.46260387811634
18,"feasible",5,50,0.6744,3.55703950340777,3.07125307125307
19,"feasible",5,50,0.7024,4.00209388344439,3.36021505376344
20,"feasible",5,50,0.7944,4.93272248931015,4.86381322957198
21,"feasible",5,50,0.7,3.71544966211418,3.33333333333333
22,"feasible",5,50,0.732,4.22063681405695,3.73134328358209
23,"feasible",5,50,0.6816,3.7102355397763,3.14070351758794
24,"feasible",5,50,0.7712,4.62899605413221,4.37062937062937
25,"feasible",5,50,0.7056,3.97107506942146,3.39673913043478
26,"feasible",5,50,0.772,4.58476404154006,4.3859649122807
27,"feasible",5,50,0.6888,3.9148839562488,3.2133676092545
28,"feasible",5,50,0.7304,4.09331498932422,3.70919881305638
29,"feasible",5,50,0.7328,4.08896987330917,3.74251497005988
30,"feasible",5,50,0.6248,3.44132988592346,2.66524520255863
31,"feasible",5,50,0.7544,4.24650767764167,4.07166123778502
32,"feasible",5,50,0.6816,3.7102355397763,3.14070351758794
33,"feasible",5,50,0.7416,4.27110874217381,3.86996904024768
34,"feasible",5,50,0.6784,3.78810545480587,3.10945273631841
35,"feasible",5,50,0.5224,2.83622024929308,2.09380234505863
36,"feasible",5,50,0.7776,4.71292855467253,4.49640287769784
37,"feasible",5,50,0.7712,4.60909505290538,4.37062937062937
38,"feasible",5,50,0.6608,3.62862449368632,2.94811320754717
39,"feasible",5,50,0.6272,3.39616631592859,2.68240343347639
40,"feasible",5,50,0.6888,3.77534741390542,3.2133676092545
41,"feasible",5,50,0.6432,3.43244483994269,2.80269058295964
42,"feasible",5,50,0.6456,3.42418001420376,2.8216704288939
43,"feasible",5,50,0.6112,3.25160256921526,2.57201646090535
44,"feasible",5,50,0.6784,3.59615195652916,3.10945273631841
45,"feasible",5,50,0.5592,2.94378714369525,2.26860254083485
